event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2019-10-01 00:00:10 UTC,view,28719074,2053013565480109009,apparel.shoes.keds,baden,102.71,520571932,ac1cd4e5-a3ce-4224-a2d7-ff660a105880
2019-10-01 00:00:26 UTC,view,28719071,2053013565480109009,apparel.shoes.keds,baden,102.71,520571932,ac1cd4e5-a3ce-4224-a2d7-ff660a105880
2019-10-01 00:00:28 UTC,view,28714755,2053013565228450757,apparel.shoes,respect,51.22,555447570,99877fbe-d5a8-475e-a662-66bc9d29b6f8
2019-10-01 00:00:31 UTC,view,28718079,2053013565362668491,apparel.shoes.keds,respect,66.67,545323115,75fb5d0c-e907-4293-9c87-2419c2a7709d
2019-10-01 00:00:33 UTC,view,28717908,2053013565782098913,apparel.shoes,burgerschuhe,102.45,513798668,2034798f-43f2-8bcb-b169-c5f04a7a5a4f
2019-10-01 00:01:21 UTC,view,28708392,2053013565069067197,apparel.shoes.keds,strobbs,31.92,555447570,99877fbe-d5a8-475e-a662-66bc9d29b6f8
2019-10-01 00:01:48 UTC,view,28714158,2053013565413000141,apparel.shoes.slipons,caprice,41.19,535055930,9f5785c3-2c85-4e0e-8173-0ae4527725ad
2019-10-01 00:01:50 UTC,view,28715758,2053013565069067197,apparel.shoes.keds,nexpero,107.85,555447570,99877fbe-d5a8-475e-a662-66bc9d29b6f8
2019-10-01 00:02:17 UTC,view,28716595,2053013565782098913,apparel.shoes,baden,76.96,525767277,80ca3883-2c25-4475-b829-7fa1b8372db3
2019-10-01 00:02:38 UTC,view,28718079,2053013565362668491,apparel.shoes.keds,respect,66.67,545323115,75fb5d0c-e907-4293-9c87-2419c2a7709d
2019-10-01 00:02:50 UTC,view,28715611,2053013565069067197,apparel.shoes.keds,fila,75.91,555447570,99877fbe-d5a8-475e-a662-66bc9d29b6f8
2019-10-01 00:02:51 UTC,view,28718142,2053013565782098913,apparel.shoes,fassen,51.22,518471395,52053f12-5030-4484-82fb-d20dc4062a27
2019-10-01 00:02:53 UTC,view,28714755,2053013565228450757,apparel.shoes,respect,51.22,552469659,02b2fcfa-2e63-4b51-81bb-4995e7cd1767
2019-10-01 00:03:05 UTC,view,28718079,2053013565362668491,apparel.shoes.keds,respect,66.67,545323115,75fb5d0c-e907-4293-9c87-2419c2a7709d
